time, sensor_id, node_x, node_y, T_in, T_out, signal_strength,
38.688, 0, 1.79621, -0.115357, 15.4489, 8.82075, 1.9611, 
38.816, 0, 1.79621, -0.115357, 15.4779, 8.68848, 1.96373, 
38.944, 0, 1.79621, -0.115357, 15.5814, 8.6239, 1.9661, 
39.072, 0, 1.79621, -0.115357, 15.506, 8.67716, 1.9682, 
39.2, 0, 1.79621, -0.115357, 15.5236, 9.12953, 1.97004, 
39.328, 0, 1.79621, -0.115357, 15.449, 8.65686, 1.9716, 
39.456, 0, 1.79621, -0.115357, 15.3665, 8.57137, 1.9729, 
39.584, 0, 1.79621, -0.115357, 15.5376, 8.59921, 1.97392, 
39.712, 0, 1.79621, -0.115357, 15.5364, 8.64464, 1.97468, 
39.84, 0, 1.79621, -0.115357, 15.7623, 8.77838, 1.97516, 
39.968, 0, 1.79621, -0.115357, 15.6169, 8.39415, 1.97537, 
40.096, 0, 1.79621, -0.115357, 15.3996, 8.81724, 1.9753, 
40.224, 0, 1.79621, -0.115357, 15.5222, 9.02438, 1.97497, 
40.352, 0, 1.79621, -0.115357, 15.5343, 8.86789, 1.97436, 
40.48, 0, 1.79621, -0.115357, 15.5059, 7.99967, 1.97347, 
40.608, 0, 1.79621, -0.115357, 15.6557, 8.4194, 1.97232, 
40.736, 0, 1.79621, -0.115357, 15.4945, 8.92815, 1.9709, 
40.864, 0, 1.79621, -0.115357, 15.6672, 8.6234, 1.9692, 
40.992, 0, 1.79621, -0.115357, 15.4608, 8.3031, 1.96724, 
41.12, 0, 1.79621, -0.115357, 15.5605, 8.13303, 1.96502, 
41.248, 0, 1.79621, -0.115357, 15.6884, 8.31911, 1.96253, 
41.376, 0, 1.79621, -0.115357, 15.8313, 8.68661, 1.95977, 
41.504, 0, 1.79621, -0.115357, 15.6304, 8.23474, 1.95676, 
41.632, 0, 1.79621, -0.115357, 15.656, 9.0924, 1.95349, 
41.76, 0, 1.79621, -0.115357, 15.5748, 8.66499, 1.94996, 
41.888, 0, 1.79621, -0.115357, 15.7808, 8.48139, 1.94618, 
42.016, 0, 1.79621, -0.115357, 15.5922, 8.40533, 1.94224, 
42.144, 0, 1.79621, -0.115357, 15.7019, 8.95799, 1.938, 
42.272, 0, 1.79621, -0.115357, 15.3965, 8.35028, 1.93352, 
42.4, 0, 1.79621, -0.115357, 15.6721, 8.51498, 1.9288, 
42.528, 0, 1.79621, -0.115357, 15.4468, 8.57126, 1.92395, 
42.656, 0, 1.79621, -0.115357, 15.6092, 9.02359, 1.9188, 
42.784, 0, 1.79621, -0.115357, 15.8348, 8.86466, 1.91356, 
42.912, 0, 1.79621, -0.115357, 15.799, 8.32337, 1.90827, 
43.04, 0, 1.79621, -0.115357, 15.6544, 8.60427, 1.90271, 
43.168, 0, 1.79621, -0.115357, 15.7342, 8.55657, 1.89695, 
43.296, 0, 1.79621, -0.115357, 15.6249, 8.92237, 1.89105, 
43.424, 0, 1.79621, -0.115357, 15.5918, 8.29321, 1.88495, 
43.552, 0, 1.79621, -0.115357, 15.7396, 8.45937, 1.8791, 
43.68, 0, 1.79621, -0.115357, 15.6249, 8.61561, 1.87276, 
43.808, 0, 1.79621, -0.115357, 15.728, 7.98591, 1.86634, 
43.936, 0, 1.79621, -0.115357, 15.7497, 8.83988, 1.85959, 
44.064, 0, 1.79621, -0.115357, 15.8713, 9.14995, 1.85306, 
44.192, 0, 1.79621, -0.115357, 15.8066, 8.56539, 1.84621, 
44.32, 0, 1.79621, -0.115357, 15.784, 8.00019, 1.83937, 
44.448, 0, 1.79621, -0.115357, 15.6955, 8.81874, 1.83253, 
44.576, 0, 1.79621, -0.115357, 15.6915, 8.87895, 1.82569, 
44.704, 0, 1.79621, -0.115357, 15.8341, 8.81871, 1.81864, 
44.832, 0, 1.79621, -0.115357, 15.7902, 8.99358, 1.81128, 
44.96, 0, 1.79621, -0.115357, 15.6511, 8.40851, 1.80405, 
45.088, 0, 1.79621, -0.115357, 15.9709, 8.58382, 1.79677, 
45.216, 0, 1.79621, -0.115357, 15.7206, 8.86799, 1.78962, 
45.344, 0, 1.79621, -0.115357, 15.7183, 8.55208, 1.78217, 
45.472, 0, 1.79621, -0.115357, 15.8156, 8.63873, 1.77468, 
45.6, 0, 1.79621, -0.115357, 15.7356, 8.09869, 1.76686, 
45.728, 0, 1.79621, -0.115357, 15.8185, 8.33737, 1.75947, 
45.856, 0, 1.79621, -0.115357, 15.8514, 8.32807, 1.75148, 
45.984, 0, 1.79621, -0.115357, 15.8304, 8.77852, 1.74375, 
46.112, 0, 1.79621, -0.115357, 15.8266, 8.7966, 1.73588, 
46.24, 0, 1.79621, -0.115357, 15.7978, 8.97194, 1.72736, 
46.368, 0, 1.79621, -0.115357, 15.9732, 9.03179, 1.71873, 
46.496, 0, 1.79621, -0.115357, 15.7148, 8.33656, 1.70999, 
46.624, 0, 1.79621, -0.115357, 15.7969, 8.30012, 1.70113, 
46.752, 0, 1.79621, -0.115357, 15.8068, 8.83535, 1.69216, 
